index,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,range,row,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow,file_,NGRDI_mean,range_y,row_y,predicted,residual
1562,MV$HYBRID-HIPS$REP2$PLOT87$ROW27$RANGE45$PHW52 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,1,27,45,187,PHP02 X LH198,2022-04-29,,,,,,,,,79,192,25000,15.46,145.73,10.4,61.1,15.8,15,4.2,2.6,34.2,15.5,502,29.6,153.4,25.7,5.24,67.18,9.01,4.15,1.48,1.24,yellow,6,2022-10-11,,45-27,MOValley-TP1-Hybrids_27_45,-0.185705514580958,27,45,58.3493403452698,-8.3493403452698
1563,MV$HYBRID-HIPS$REP2$PLOT88$ROW29$RANGE45$PHZ51 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,67,1,29,45,188,PHJ40 X LH82,2022-04-29,,,,,,,,,86,177,33500,14.17,133.87,10.2,60.1,15.5,14.2,3.5,2.5,37.8,16,444,24.7,107.2,19.8,5.52,71.83,8.91,4.11,1.08,1.15,yellow,4.48,2022-10-11,,45-29,MOValley-TP1-Hybrids_29_45,-0.197284965674492,29,45,60.2928970468757,6.70710295312431
1564,MV$HYBRID-HIPS$REP1$PLOT1$ROW23$RANGE2$PHP02 X PHK76,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,54,2,23,2,201,PHP02 X PHN46,2022-04-29,,,,,,,,,81,182,27000,16.71,156.64,10.9,58.3,14.8,13.4,4.1,2.4,33.5,14.5,466,27.2,128.8,17.8,5.01,68.78,8.48,3.97,0.72,1.11,yellow,3.7,2022-10-11,,2-23,MOValley-TP1-Hybrids_23_2,-0.130105086067963,23,2,49.0170684978648,4.98293150213523
1565,MV$HYBRID-HIPS$REP1$PLOT2$ROW25$RANGE2$LH185 X LH82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,54,2,25,2,202,PHW52 X PHZ51,2022-04-29,,,,,,,,,80,213,27000,15.35,144.05,10.8,59.9,21,20,4,2.6,41.2,13.5,500,32.7,163.6,31.4,4.92,71.18,7.85,3.22,0.66,0.89,yellow,5.56,2022-10-11,,2-25,MOValley-TP1-Hybrids_25_2,-0.18704676413818,25,2,58.5744628095739,-4.57446280957386
1566,MV$HYBRID-HIPS$REP1$PLOT3$ROW27$RANGE2$LH82 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,2,27,2,203,2369 X PHP02,2022-04-29,,,,,,,,,77,205,27500,11.43,107.62,10.5,60.1,17.8,16.2,4,2.6,39.5,15,573,25,137.1,23.5,4.8,69.12,8.24,3.69,0.92,1.13,yellow,1.82,2022-10-11,,2-27,MOValley-TP1-Hybrids_27_2,-0.165203862528798,27,2,54.9082339475565,0.091766052443468
1567,MV$HYBRID-HIPS$REP1$PLOT4$ROW29$RANGE2$COMMERCIAL HYBRID 1,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,57,2,29,2,204,PHG39 X PHM49,2022-04-29,,,,,,,,,104,202,28500,13.81,129.74,10.7,59.6,19,16.6,3.2,2,38.5,12.5,460,26.7,122.9,19.6,4.55,70.32,7.43,3.15,0.82,0.81,yellow,1.75,2022-10-11,,2-29,MOValley-TP1-Hybrids_29_2,-0.157191580057289,29,2,53.5634098132453,3.43659018675467
1568,MV$HYBRID-HIPS$REP1$PLOT5$ROW23$RANGE3$PHP02 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,48,2,23,3,205,LH198 X PHB47,2022-04-29,,,,,,,,,102,213,24000,13.8,130.08,10.4,61.2,16.4,15.4,4,2.5,40.8,13,500,24.4,121.9,23.4,5.17,68.95,9.38,4.53,0.93,0.96,yellow,0,2022-10-11,,3-23,MOValley-TP1-Hybrids_23_3,-0.145242776536118,23,3,51.5578590343564,-3.55785903435635
1569,MV$HYBRID-HIPS$REP1$PLOT6$ROW25$RANGE3$LH185 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,69,2,25,3,206,B37 X MO17,2022-04-29,,,,,,,,,105,211,34500,16.9,157.7,11.3,58.8,18.2,17.1,3.9,2.5,46.2,15,590,25.3,145.4,26.7,5.33,71.53,8.98,3.89,1.45,1.11,yellow,2.9,2022-10-11,,3-25,MOValley-TP1-Hybrids_25_3,-0.200600291405516,25,3,60.849358962945,8.15064103705505
1570,MV$HYBRID-HIPS$REP1$PLOT7$ROW27$RANGE3$PHP02 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,2,27,3,207,B73 X PHZ51,2022-04-29,,,,,,,,,123,223,27500,11.61,109.44,10.4,59.3,17,15.8,3.8,2.5,42.5,15.5,590,18.4,108.6,22.4,5.24,68.94,9.25,3.89,1.11,1.17,yellow,3.64,2022-10-11,,3-27,MOValley-TP1-Hybrids_27_3,-0.189783457000969,27,3,59.0338039053431,-4.03380390534313
1571,MV$HYBRID-HIPS$REP1$PLOT8$ROW29$RANGE3$PHK76 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,51,2,29,3,208,PHK76 X 3IIH6,2022-04-29,,,,,,,,,105,260,25500,9.61,90.49,10.5,57.9,18.4,17.2,3.8,2.5,36.8,16,550,22.1,122.6,24.2,4.86,67.53,9.47,4.25,0.73,1.09,yellow,3.92,2022-10-11,,3-29,MOValley-TP1-Hybrids_29_3,-0.149602866030651,29,3,52.2896796611072,-1.28967966110721
1572,MV$HYBRID-HIPS$REP1$PLOT9$ROW23$RANGE4$PHK56 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,46,2,23,4,209,PHK76 X W606S,2022-04-29,,,,,,,,,75,181,23000,11.96,112.49,10.6,60.4,17.6,16.2,3.2,2.4,36.5,14,444,22.7,99.1,22.6,5.05,71.21,10.08,4.79,0.35,0.87,orange,4.35,2022-10-11,,4-23,MOValley-TP1-Hybrids_23_4,-0.135078669658893,23,4,49.8518612389945,-3.85186123899452
1573,MV$HYBRID-HIPS$REP1$PLOT10$ROW25$RANGE4$LH195 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,53,2,25,4,210,LH123HT X 3IIH6,2022-04-29,,,,,,,,,101,237,26500,13.55,127.16,10.8,57.5,17.9,17.2,4.1,2.5,36,17,562,27.2,153,31,4.52,67.03,11.01,3.98,1.29,1.06,yellow,7.55,2022-10-11,,4-25,MOValley-TP1-Hybrids_25_4,-0.177183127478134,25,4,56.9188975346756,-3.91889753467557
1574,MV$HYBRID-HIPS$REP1$PLOT12$ROW29$RANGE4$PHW52 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,53,2,29,4,212,PHK76 X LH198,2022-04-29,,,,,,,,,113,220,26500,11.86,111.3,10.8,61,16.9,15.5,3.6,2.4,41,13.5,493,24.7,122.6,23.6,5.11,71.68,9,4.65,0.43,0.94,yellow,3.77,2022-10-11,,4-29,MOValley-TP1-Hybrids_29_4,-0.16963780929404,29,4,55.6524511717186,-2.65245117171855
1575,MV$HYBRID-HIPS$REP1$PLOT13$ROW23$RANGE5$PHK76 X LH82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,2,23,5,213,LH74 X PHN82,2022-04-29,,,,,,,,,97,197,27500,14.71,138.66,10.4,59.7,16.4,15,3.6,2.4,36.5,15,549,22.7,125.2,19.6,5.12,68.59,9.93,3.93,1.19,1.16,yellow,1.82,2022-10-11,,5-23,MOValley-TP1-Hybrids_23_5,-0.144895870485994,23,5,51.4996324765429,3.50036752345714
1576,MV$HYBRID-HIPS$REP1$PLOT14$ROW25$RANGE5$2369 X PHZ51,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,2,25,5,214,PHP02 X LH82,2022-04-29,,,,,,,,,90,163,27500,14.51,135.55,11.2,56,14.9,14,3.9,2.5,34.2,16.8,486,22.1,102.2,16.9,4.96,66.11,11.36,3.98,1.17,1.23,yellow,0,2022-10-11,,5-25,MOValley-TP1-Hybrids_25_5,-0.173314983460116,25,5,56.2696476550165,-1.26964765501645
1577,MV$HYBRID-HIPS$REP1$PLOT15$ROW27$RANGE5$LH74 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,57,2,27,5,215,2369 X PHN82,2022-04-29,,,,,,,,,75,195,28500,14.24,133.78,10.7,61.6,17.6,16.2,4.1,3,41.2,16.5,625,21,126.5,20.7,5.02,72.09,8.23,4.32,0.2,0.88,yellow,0,2022-10-11,,5-27,MOValley-TP1-Hybrids_27_5,-0.166979232951719,27,5,55.2062215685093,1.79377843149072
1578,MV$HYBRID-HIPS$REP1$PLOT16$ROW29$RANGE5$2369 X LH123HT,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,57,2,29,5,216,LH195 X LH123HT,2022-04-29,,,,,,,,,119,235,28500,14.07,130.7,11.7,61.5,17.1,16.4,3.8,2.5,37,14.2,508,25.3,129.9,24,4.72,70.81,9.63,3.66,0.68,0.92,yellow,1.75,2022-10-11,,5-29,MOValley-TP1-Hybrids_29_5,-0.198236386775494,29,5,60.4525886282784,-3.45258862827839
1579,MV$HYBRID-HIPS$REP1$PLOT17$ROW23$RANGE6$PHP02 X PHN46,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,35,2,23,6,217,PHN46 X W606S,2022-04-29,,,,,,,,,92,201,17500,13.58,127.44,10.8,59.4,19,16.1,4.4,3,36.5,14.5,538,29.9,159,31.3,5.17,72.23,9.39,3.95,0.41,0.91,yellow,8.57,2022-10-11,,6-23,MOValley-TP1-Hybrids_23_6,-0.104592925857025,23,6,44.7349717430281,-9.73497174302811
1580,MV$HYBRID-HIPS$REP1$PLOT18$ROW25$RANGE6$PHW52 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,63,2,25,6,218,PHB47 X PHK56,2022-04-29,,,,,,,,,103,220,31500,16.37,154.31,10.4,59.6,14.9,13.5,3.5,2.1,34.2,14.8,505,18.7,97.1,18.2,4.98,69.22,11.09,4.35,1.06,0.9,yellow,1.59,2022-10-11,,6-25,MOValley-TP1-Hybrids_25_6,-0.177376080699858,25,6,56.9512838303772,6.04871616962277
1581,MV$HYBRID-HIPS$REP1$PLOT19$ROW27$RANGE6$SOLAR 2,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,49,2,27,6,219,PHP02 X PHK56,2022-04-29,,,,,,,,,75,185,24500,12.23,114.77,10.8,58.2,16.2,15.5,4.1,2.6,38.8,15.5,548,25.2,135.5,20.9,4.24,67.31,9.25,3.81,1.21,1.11,yellow,0,2022-10-11,,6-27,MOValley-TP1-Hybrids_27_6,-0.154720917150262,27,6,53.1487206011597,-4.14872060115972
1582,MV$HYBRID-HIPS$REP1$PLOT20$ROW29$RANGE6$B73 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,59,2,29,6,220,PHK56 X W606S,2022-04-29,,,,,,,,,94,216,29500,15.84,148.65,10.8,58.9,18.6,17.9,4.4,3,41.8,16,616,25.3,154.8,29,5.14,68.3,9.59,3.66,1.24,1.01,yellow,0,2022-10-11,,6-29,MOValley-TP1-Hybrids_29_6,-0.195419179016535,29,6,59.9797334838063,-0.979733483806271
1583,MV$HYBRID-HIPS$REP1$PLOT21$ROW23$RANGE7$PHK56 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,60,2,23,7,221,SYNGENTA NK0760-3111,2022-04-29,,,,,,,,,100,205,30000,16.6,155.25,11.1,56.4,16.8,15.6,3.5,2.4,38.8,16,490,20.8,104.2,20.7,6.03,69.57,10.74,4.08,2.35,1.62,yellow,0,2022-10-11,,7-23,MOValley-TP1-Hybrids_23_7,-0.183565016282417,23,7,57.9900677183291,2.00993228167091
1584,MV$HYBRID-HIPS$REP1$PLOT22$ROW25$RANGE7$PHK56 X LH198,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,56,2,25,7,222,B73 X PHN82,2022-04-29,,,,,,,,,87,200,28000,17.86,169.11,10,63.3,18.5,17.4,4.6,3.1,42.2,17.5,651,27.2,192.3,32.7,5.32,68.55,8.77,3.81,1.14,1.18,yellow,0,2022-10-11,,7-25,MOValley-TP1-Hybrids_25_7,-0.172288594789491,25,7,56.0973731177234,-0.0973731177234356
1585,MV$HYBRID-HIPS$REP1$PLOT23$ROW27$RANGE7$PHB47 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,2,27,7,223,PHT69 X 3IIH6,2022-04-29,,,,,,,,,83,200,25000,12.9,121.06,10.8,55.2,16,15.4,4,2,31.5,14.5,439,24.4,106.6,19.4,5.37,71.58,10.04,3.92,1.43,1.41,yellow,2,2022-10-11,,7-27,MOValley-TP1-Hybrids_27_7,-0.131165407030646,27,7,49.1950384116568,0.804961588343161
1586,MV$HYBRID-HIPS$REP1$PLOT24$ROW29$RANGE7$2369 X PHN82,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,58,2,29,7,224,F42 X OH43,2022-04-29,,,,,,,,,115,220,29000,15.55,146.09,10.7,58,16.2,15.4,4.4,3.2,37.8,18.5,466,24.7,111.8,23.6,5.79,70.95,9.9,3.98,1.04,1.21,yellow,1.72,2022-10-11,,7-29,MOValley-TP1-Hybrids_29_7,-0.190637755854308,29,7,59.177193971778,-1.17719397177801
1587,MV$HYBRID-HIPS$REP1$PLOT25$ROW23$RANGE8$PHP02 X PHG47,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,60,2,23,8,225,B105 X 3IIH6,2022-04-29,,,,,,,,,85,168,30000,9.89,92.91,10.7,55.2,17.9,15.6,4,2.6,34.8,17,500,23.3,115.8,19.2,5.28,69.96,9.31,4.46,1.29,1.37,yellow,60,2022-10-11,,8-23,MOValley-TP1-Hybrids_23_8,-0.137212802184055,23,8,50.2100654006503,9.78993459934969
1588,MV$HYBRID-HIPS$REP1$PLOT26$ROW25$RANGE8$LH82 X PHB47,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,66,2,25,8,226,B73 X MO17,2022-04-29,,,,,,,,,117,225,33000,17.11,159.3,11.5,56.3,19.5,18.1,4.1,2.5,49.8,14,448,34.6,164.3,24.3,5.71,71.81,8.78,3.93,1.83,1.4,yellow,10.61,2022-10-11,,8-25,MOValley-TP1-Hybrids_25_8,-0.18477422792709,25,8,58.193028236637,7.80697176336305
1589,MV$HYBRID-HIPS$REP1$PLOT27$ROW27$RANGE8$LH82 X PHJ89,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,2,27,8,227,LH82 X PHB47,2022-04-29,,,,,,,,,78,178,25000,12.32,116.26,10.3,58.5,18.4,16.8,4,2.5,43.2,17.2,484,26.2,135.2,22.8,5.68,66.34,11.08,4.51,1.13,1.24,yellow,8,2022-10-11,,8-27,MOValley-TP1-Hybrids_27_8,-0.185824057543061,27,8,58.3692372269581,-8.3692372269581
1590,MV$HYBRID-HIPS$REP1$PLOT28$ROW29$RANGE8$PHB47 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,54,2,29,8,228,LH145 X LH162,2022-04-29,,,,,,,,,97,207,27000,16.67,153.8,12.3,59.8,18.6,16.1,3.9,2.2,39.8,15.5,546,27.4,154.9,26.7,5.25,68.84,8.31,4.09,0.89,1.04,yellow,1.85,2022-10-11,,8-29,MOValley-TP1-Hybrids_29_8,-0.168682764290509,29,8,55.4921513352277,-1.49215133522765
1591,MV$HYBRID-HIPS$REP1$PLOT29$ROW23$RANGE9$PHK56 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,61,2,23,9,229,PHP02 X PHJ89,2022-04-29,,,,,,,,,80,189,30500,14.01,131.47,10.8,55.2,17,16.1,4.6,3,36.8,15.8,482,25,124.8,17.6,5.11,67.6,9.62,4.34,0.91,1.18,yellow,9.84,2022-10-11,,9-23,MOValley-TP1-Hybrids_23_9,-0.156702958419187,23,9,53.4813969568835,7.5186030431165
1592,MV$HYBRID-HIPS$REP1$PLOT30$ROW25$RANGE9$WF9 X H95,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,54,2,25,9,230,PHB47 X LH185,2022-04-29,,,,,,,,,83,204,27000,13.87,130.89,10.3,57.3,18.4,16.5,3.9,2.4,44,12.5,370,33.4,123.5,20.2,5.64,66.09,11.27,4.04,1.71,1.15,yellow,5.56,2022-10-11,,9-25,MOValley-TP1-Hybrids_25_9,-0.15063593676668,25,9,52.463075751822,1.53692424817798
1593,MV$HYBRID-HIPS$REP1$PLOT31$ROW27$RANGE9$SOLAR 4,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,62,2,27,9,231,2369 X PHZ51,2022-04-29,,,,,,,,,104,231,31000,11.43,107.62,10.5,60.9,16.2,15.1,3,2,33.5,13.8,378,22.4,85.1,16.6,5.05,69.21,10.62,4.25,0.41,0.99,yellow,3.23,2022-10-11,,9-27,MOValley-TP1-Hybrids_27_9,-0.188861229202679,27,9,58.879012283245,3.12098771675497
1594,MV$HYBRID-HIPS$REP1$PLOT32$ROW29$RANGE9$LH74 X PHM49,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,2,29,9,232,PIONEER P0589 AMXT,2022-04-29,,,,,,,,,83,193,25000,15.68,148.3,10.1,60.5,17.9,15.5,4.1,2.5,36.8,14,454,26.6,125.2,19.3,5.28,69.67,7.87,3.94,0.8,1.09,yellow,8,2022-10-11,,9-29,MOValley-TP1-Hybrids_29_9,-0.16296529287196,29,9,54.5325005018677,-4.53250050186767
1595,MV$HYBRID-HIPS$REP1$PLOT33$ROW23$RANGE10$PHN46 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,57,2,23,10,233,PHP02 X LH145,2022-04-29,,,,,,,,,93,185,28500,13.69,128.9,10.5,56.4,18.4,17,3.9,2.6,43,14,478,28,138.3,26.2,5,65.51,11.22,4.02,1.57,1.26,yellow,0,2022-10-11,,10-23,MOValley-TP1-Hybrids_23_10,-0.120405226888524,23,10,47.3889925069951,9.61100749300489
1596,MV$HYBRID-HIPS$REP1$PLOT34$ROW25$RANGE10$B37 X MO17,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,41,2,25,10,234,PHN46 X PHB47,2022-04-29,,,,,,,,,95,192,20500,14.9,140.61,10.3,58.7,18.2,15.6,4.4,2.6,38.2,13.5,467,31.8,142.2,23.5,5.22,70.68,10.1,4.19,1,0.93,yellow,0,2022-10-11,,10-25,MOValley-TP1-Hybrids_25_10,-0.148172866592478,25,10,52.0496609444251,-11.0496609444251
1597,MV$HYBRID-HIPS$REP1$PLOT35$ROW27$RANGE10$LH195 X PHZ51,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,63,2,27,10,235,WF9 X H95,2022-04-29,,,,,,,,,90,214,31500,9.59,89.59,11.2,59.1,16.6,14.8,3.9,2.5,37.2,16.5,466,19.4,90.4,16.3,5.58,69.77,11.79,4.53,0.81,1.06,yellow,0,2022-10-11,,10-27,MOValley-TP1-Hybrids_27_10,-0.212579988991242,27,10,62.8600951660583,0.139904833941671
1598,MV$HYBRID-HIPS$REP1$PLOT36$ROW29$RANGE10$PHB47 X PHK56,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,58,2,29,10,236,PHB47 X 3IIH6,2022-04-29,,,,,,,,,91,209,29000,12.96,121.76,10.7,56.1,19,15.9,3.6,2,38.8,14,469,25.8,120.1,21,5.21,67.03,9.62,4.01,1.35,1.16,yellow,3.45,2022-10-11,,10-29,MOValley-TP1-Hybrids_29_10,-0.173630908269492,29,10,56.3226741564893,1.67732584351069
1599,MV$HYBRID-HIPS$REP1$PLOT37$ROW23$RANGE11$PHP02 X LH185,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,51,2,23,11,237,LH82 X W606S,2022-04-29,,,,,,,,,88,209,25500,16.09,150.82,10.9,57.3,17.5,15,3.9,2.5,37.2,17.5,478,21.8,111.4,19,5.61,70.05,9.34,3.86,0.8,1.18,orange,0,2022-10-11,,11-23,MOValley-TP1-Hybrids_23_11,-0.149126403498116,23,11,52.209707653739,-1.20970765373896
1600,MV$HYBRID-HIPS$REP1$PLOT38$ROW25$RANGE11$B37 X H95,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,55,2,25,11,238,HOEGEMEYER 8065RR,2022-04-29,,,,,,,,,102,204,27500,18.83,176.51,10.9,57.3,18.8,18.2,4.4,2.6,46.2,14.5,561,31.8,178.1,22.8,5.22,69.13,9.49,3.82,1.36,1.18,yellow,5.45,2022-10-11,,11-25,MOValley-TP1-Hybrids_25_11,-0.163374208632935,25,11,54.6011350995887,0.398864900411283
1601,MV$HYBRID-HIPS$REP1$PLOT39$ROW27$RANGE11$LH123HT X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,62,2,27,11,239,B73 X 3IIH6,2022-04-29,,,,,,,,,86,191,31000,11.09,104.07,10.8,54.5,16.6,15.2,4.5,2.9,35.5,19,545,26.5,145,23.5,5.56,64.9,9.08,4.75,1.95,1.57,yellow,48.39,2022-10-11,,11-27,MOValley-TP1-Hybrids_27_11,-0.14917359628512,27,11,52.217628742287,9.78237125771305
1602,MV$HYBRID-HIPS$REP1$PLOT40$ROW29$RANGE11$PHZ51 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,62,2,29,11,240,4N506 X 3IIH6,2022-04-29,,,,,,,,,102,206,31000,14.42,135.17,10.9,55.3,16.8,14.5,4.4,2.4,31.5,16.5,468,28,132.7,21.5,5.14,69.28,8.53,4.28,1.42,1.38,yellow,3.23,2022-10-11,,11-29,MOValley-TP1-Hybrids_29_11,-0.201435560721549,29,11,60.9895550105562,1.01044498944377
1603,MV$HYBRID-HIPS$REP1$PLOT41$ROW23$RANGE12$COMMERCIAL HYBRID 5,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,60,2,23,12,241,PIONEER 1311 AMXT,2022-04-29,,,,,,,,,95,201,30000,20.83,195.47,10.8,59.5,20.9,19.1,5,3.1,40.2,18,709,31.6,229.1,26.2,5.35,69.21,8.28,4.02,0.97,1.18,yellow,0,2022-10-11,,12-23,MOValley-TP1-Hybrids_23_12,-0.196924950846958,23,12,60.232470242092,-0.232470242092006
1604,MV$HYBRID-HIPS$REP1$PLOT42$ROW25$RANGE12$LH195 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,51,2,25,12,242,PHK56 X PHJ89,2022-04-29,,,,,,,,,70,208,25500,17.23,162.05,10.6,58.7,15.9,15.6,4.2,2.6,38,16,508,26.1,136.5,20.6,5.78,67.45,9.09,4.37,0.96,1.07,yellow,3.92,2022-10-11,,12-25,MOValley-TP1-Hybrids_25_12,-0.160385684510331,25,12,54.0995253048342,-3.09952530483417
