model,image,Date,location,r2_mean,count,sd,r2_se
LASSO,UAV,2022-07-28,Lincoln,0.500301980295057,5,0.105530779265815,0.0471947992313777
LASSO,Satellite,2022-09-27,Lincoln,0.479143992382295,2,0.114175825806492,0.0807345006753448
LR,UAV,2022-07-28,Lincoln,0.478199389658069,5,0.118403502081988,0.0529516558858728
RF,Satellite,2022-08-08,Missouri Valley,0.467669687348564,5,0.0986858932340845,0.0441336731383399
PLSR,Satellite,2022-09-11,Lincoln,0.466575482749936,5,0.149115639300667,0.0666865411969261
LASSO,UAV,2022-07-13,Lincoln,0.46081192931241,5,0.102585165718777,0.0458774808060534
PLSR,UAV,2022-07-28,Lincoln,0.456886122872054,5,0.129886003523432,0.0580867866408341
LASSO,UAV,2022-08-04,Lincoln,0.448090425489243,5,0.0953645028536829,0.0426483022042615
PLSR,Satellite,2022-09-19,Lincoln,0.444158963910221,5,0.104838525790032,0.0468852140654752
PLSR,Satellite,2022-09-27,Lincoln,0.443604918770027,5,0.092380386222119,0.0413137646760686
GB,Satellite,2022-08-08,Missouri Valley,0.432127546656155,5,0.106099796147595,0.0474492713169785
RF,Satellite,2022-09-19,Lincoln,0.431765734222697,5,0.108925383582585,0.0487129124331798
RF,Satellite,2022-09-27,Lincoln,0.429326721551105,5,0.0970310700948601,0.0433936137323308
RF,UAV,2022-08-10,Ames,0.422245333802841,5,0.111254797978207,0.0497546582204552
RF,UAV,2022-08-10,Missouri Valley,0.416106189420033,5,0.165435678121215,0.0739850844365622
PLSR,UAV,2022-08-04,Lincoln,0.415946852721007,5,0.0619907499394783,0.0277231061681729
SVM,Satellite,2022-08-08,Missouri Valley,0.409791131750923,5,0.133719257067267,0.0598010697406357
RF,Satellite,2022-09-11,Lincoln,0.407159839984082,5,0.132543831409112,0.0592754034058091
GB,UAV,2022-08-10,Missouri Valley,0.406616640694571,5,0.189452725892112,0.0847258347234792
LASSO,UAV,2022-08-10,Missouri Valley,0.399228173572032,5,0.13756743267059,0.0615220261883129
SVM,Satellite,2022-09-27,Lincoln,0.398568798320445,5,0.116013634689494,0.0518828746965073
GB,UAV,2022-08-10,Ames,0.391647559431375,5,0.0789442698588234,0.0353049507676834
PLSR,Satellite,2022-08-08,Missouri Valley,0.391541603501678,5,0.120287735029837,0.0537943104772397
SVM,Satellite,2022-09-11,Lincoln,0.387805488253372,5,0.146068229949304,0.0653236983039431
PLSR,UAV,2022-07-13,Lincoln,0.386279917309007,5,0.0959910800496785,0.042928516044941
RF,UAV,2022-07-28,Lincoln,0.386101018906943,5,0.10541724409049,0.0471440247574046
GB,Satellite,2022-09-19,Lincoln,0.382833296631246,5,0.101332905533805,0.0453174530262304
RF,UAV,2022-07-13,Lincoln,0.381473901844959,5,0.12858722845301,0.0575059567718453
LASSO,Satellite,2022-09-11,Lincoln,0.380883166036029,3,0.0235299610344622,0.0135850293372682
GB,Satellite,2022-09-27,Lincoln,0.378141745667003,5,0.089127885553281,0.0398592021575915
SVM,Satellite,2022-09-19,Lincoln,0.377700482974973,5,0.121303959006221,0.0542487796555514
SVM,UAV,2022-08-10,Missouri Valley,0.375851449894932,5,0.188011172785613,0.0840811525756178
RF,Satellite,2022-08-06,Lincoln,0.3757223866636,5,0.0683150232794302,0.0305514071874573
LR,UAV,2022-07-13,Lincoln,0.368918412507589,5,0.076038168149801,0.0340053025735029
GB,Satellite,2022-09-11,Lincoln,0.36545812956585,5,0.122160655645637,0.0546319060399176
SVM,UAV,2022-08-10,Ames,0.364883006436384,5,0.108075619725691,0.0483328864834126
LASSO,Satellite,2022-08-31,Ames,0.362286027316451,2,0.106055551948711,0.0749925999654159
RF,Satellite,2022-08-10,Ames,0.361418686997294,5,0.0696860575070439,0.0311645523339419
SVM,UAV,2022-07-28,Lincoln,0.359573150138737,5,0.0989893206693897,0.044269370012656
GB,Satellite,2022-08-06,Lincoln,0.355280274062368,5,0.103056316388665,0.046088185791156
GB,UAV,2022-07-13,Lincoln,0.353319866152348,5,0.109066103854868,0.0487758444521074
RF,Satellite,2022-09-03,Lincoln,0.351101816184772,5,0.14387073629705,0.0643409492666298
LR,UAV,2022-08-04,Lincoln,0.349628304683336,5,0.131412274322851,0.0587693556927488
RF,UAV,2022-08-04,Lincoln,0.341792328427827,5,0.0574176653259724,0.0256779605556414
GB,UAV,2022-07-28,Lincoln,0.336468077549472,5,0.0696920483922186,0.0311672315392411
SVM,Satellite,2022-09-03,Lincoln,0.333192493391299,5,0.125981820092793,0.0563407827313266
SVM,Satellite,2022-08-06,Lincoln,0.332454382891651,5,0.0353925101360914,0.0158280117117302
PLSR,Satellite,2022-08-06,Lincoln,0.330689131575144,5,0.0997715674932604,0.0446192014273277
GB,Satellite,2022-08-10,Ames,0.329680027168878,5,0.0585368894397316,0.0261784927957259
RF,Satellite,2022-08-31,Ames,0.329341773862451,5,0.0777412500429774,0.0347669439503812
RF,Satellite,2022-07-18,Lincoln,0.319416170555731,5,0.0374475733671914,0.0167470639282901
SVM,Satellite,2022-08-10,Ames,0.317232795324633,5,0.0478542258371249,0.0214010603964876
SVM,UAV,2022-07-13,Lincoln,0.315166241040134,5,0.11002115889067,0.0492029580485686
PLSR,Satellite,2022-09-03,Lincoln,0.314436194640716,5,0.16377980186503,0.0732445540623309
SVM,UAV,2022-08-04,Lincoln,0.312113890900728,5,0.0591285393957225,0.026443086699822
LASSO,Satellite,2022-07-18,Lincoln,0.311184870090037,4,0.0361489611348783,0.0180744805674392
GB,Satellite,2022-08-31,Ames,0.305086461506119,5,0.0737455429560321,0.0329800094174637
GB,Satellite,2022-09-03,Lincoln,0.300482428551198,5,0.132145516451191,0.0590972715413361
GB,UAV,2022-08-04,Lincoln,0.298425402842454,5,0.0731968999036257,0.032734648785351
GB,Satellite,2022-07-18,Lincoln,0.297914726891773,5,0.0578755970715883,0.0258827538580918
LASSO,Satellite,2022-08-06,Lincoln,0.292229190807151,5,0.0507609851362052,0.0227010026738822
PLSR,UAV,2022-08-10,Missouri Valley,0.281506017712817,5,0.195794507927016,0.087561965869186
PLSR,Satellite,2022-09-03,Missouri Valley,0.280672451750765,5,0.150881722553767,0.0674763576384971
SVM,Satellite,2022-07-18,Lincoln,0.274279070753295,5,0.0810084083340498,0.0362280615567992
PLSR,Satellite,2022-08-10,Ames,0.271959455982802,5,0.145322602202112,0.0649902434382165
LASSO,Satellite,2022-08-08,Missouri Valley,0.271871035367176,3,0.234508641451848,0.135393627269518
SVM,Satellite,2022-08-31,Ames,0.269864818916358,5,0.0547592261366382,0.0244890704073612
LASSO,UAV,2022-07-13,Missouri Valley,0.266109033647931,5,0.141448806169869,0.0632578291864036
LR,Satellite,2022-09-19,Lincoln,0.256154921275326,5,0.157005902817733,0.0702151743138352
PLSR,UAV,2022-08-10,Ames,0.254544749756157,5,0.211188006528297,0.0944461477259881
LASSO,UAV,2022-08-12,Scottsbluff,0.247953559904239,5,0.10951606805547,0.0489770745601047
GB,Satellite,2022-09-11,Ames,0.246312604147773,5,0.0664969260154236,0.0297383293730523
RF,Satellite,2022-07-21,Missouri Valley,0.245026740849303,5,0.191550925208998,0.0856641779840594
PLSR,Satellite,2022-08-31,Ames,0.244487453198281,5,0.147646658102052,0.0660295928333715
PLSR,UAV,2022-07-13,Missouri Valley,0.24299692734104,5,0.0937599855621901,0.0419307402572912
RF,Satellite,2022-07-13,Missouri Valley,0.241227704785982,5,0.161699359810406,0.072314152090853
LASSO,Satellite,2022-08-10,Ames,0.235085523733567,1,,
PLSR,Satellite,2022-07-21,Missouri Valley,0.233011276915089,5,0.221180715470446,0.0989150230207915
RF,UAV,2022-07-27,Missouri Valley,0.23118633440357,5,0.134161293391837,0.0599987543946881
LASSO,UAV,2022-07-08,Scottsbluff,0.230086750097987,5,0.0715531849330633,0.0319995571033887
GB,Satellite,2022-07-21,Missouri Valley,0.229930588333109,5,0.218801239347922,0.0978508889486312
SVM,Satellite,2022-09-03,Missouri Valley,0.229829966440917,5,0.209046192643165,0.0934882994375268
RF,Satellite,2022-09-11,Ames,0.229372369017119,5,0.0938542949256062,0.0419729166867938
PLSR,Satellite,2022-09-19,Missouri Valley,0.225717755086139,5,0.0858400918201289,0.0383888561009264
PLSR,UAV,2022-08-11,Crawfordsville,0.224677955429799,5,0.136645970873122,0.0611099359447513
LR,Satellite,2022-08-08,Missouri Valley,0.217909374176218,5,0.121224862913467,0.0542134068075209
RF,Satellite,2022-09-03,Missouri Valley,0.2171762349094,5,0.197400008527584,0.0882799675653434
LASSO,UAV,2022-08-10,Ames,0.213035621884949,5,0.158495553254499,0.0708813662416997
PLSR,UAV,2022-07-27,Missouri Valley,0.206498693608135,5,0.0930999212202935,0.0416355505096903
LR,UAV,2022-08-10,Missouri Valley,0.205175495776534,5,0.20540748256729,0.0918610188215129
LASSO,UAV,2022-08-11,Crawfordsville,0.19907536109988,5,0.142226125169154,0.0636054568109246
SVM,Satellite,2022-07-21,Missouri Valley,0.198109625046198,5,0.117706773770189,0.0526400695124664
RF,Satellite,2022-09-11,Missouri Valley,0.197520337618359,5,0.221548282116945,0.0990794038223581
SVM,Satellite,2022-09-11,Missouri Valley,0.194533697442394,5,0.214012481793617,0.0957092914647928
LASSO,UAV,2022-07-27,Missouri Valley,0.19189670350303,5,0.0994205664804725,0.0444622290023747
SVM,Satellite,2022-09-11,Ames,0.190731094961772,5,0.10149444642426,0.045389696308671
LR,UAV,2022-08-11,Crawfordsville,0.189969977759354,5,0.12681633311264,0.056713988299424
LASSO,UAV,2022-07-12,Ames,0.189263230867952,5,0.124755211438815,0.0557922266649098
PLSR,Satellite,2022-09-11,Ames,0.188977781602936,5,0.11455911538834,0.0512323938901139
RF,UAV,2022-07-26,Ames,0.17435719275782,5,0.0415248241170664,0.0185704658958966
SVM,UAV,2022-07-27,Missouri Valley,0.172889032680616,5,0.13857202562021,0.0619712938133264
RF,Satellite,2022-10-09,Crawfordsville,0.171318751214263,5,0.0562899733052735,0.025173641352448
LASSO,Satellite,2022-08-02,Crawfordsville,0.168233019914197,5,0.112675677712637,0.050390094955263
GB,UAV,2022-07-27,Missouri Valley,0.167687790515128,5,0.105659115274943,0.0472521928394519
PLSR,Satellite,2022-07-13,Missouri Valley,0.166491261014146,5,0.137119196365187,0.06132156881854
PLSR,UAV,2022-08-12,Scottsbluff,0.165901192951216,5,0.117322801184317,0.0524683517517652
SVM,Satellite,2022-07-13,Missouri Valley,0.165244518928308,5,0.122224259804178,0.0546603506843473
PLSR,UAV,2022-07-08,Scottsbluff,0.164600563227081,5,0.132603809131656,0.0593022262587582
RF,Satellite,2022-08-02,Crawfordsville,0.163922624271185,5,0.132911054885574,0.0594396307370696
LR,UAV,2022-08-10,Ames,0.163806591757242,5,0.184780578589192,0.0826363869294349
PLSR,Satellite,2022-10-09,Crawfordsville,0.162756167856437,5,0.0616987408008284,0.0275925157113584
RF,UAV,2022-08-11,Crawfordsville,0.161366765602189,5,0.082788941556175,0.0370243402209729
PLSR,UAV,2022-07-26,Ames,0.160032969883376,5,0.0379575036769356,0.0169751116955652
PLSR,UAV,2022-07-12,Ames,0.159903744194833,5,0.0895132046917498,0.0400315221149211
RF,Satellite,2022-07-23,Ames,0.159291780339667,5,0.0674824271235194,0.030179058866973
SVM,Satellite,2022-08-02,Crawfordsville,0.157824956743585,5,0.11748065913567,0.0525389479737681
LR,Satellite,2022-09-27,Lincoln,0.157647806143082,5,0.112633306932083,0.0503711461661473
LR,UAV,2022-07-27,Missouri Valley,0.15713107422566,5,0.0990267816518405,0.0442861230733089
GB,Satellite,2022-09-19,Missouri Valley,0.15348691333042,5,0.094058787614411,0.0420643685974076
RF,Satellite,2022-08-18,Scottsbluff,0.151147566441851,5,0.0554822878839047,0.0248124334511248
SVM,UAV,2022-07-13,Missouri Valley,0.150184902943068,5,0.0902851898700805,0.0403767643821951
LR,Satellite,2022-08-31,Ames,0.14807812397391,5,0.0856773438206683,0.0383160729829272
RF,Satellite,2022-09-09,Scottsbluff,0.147854975879099,5,0.0623004499205128,0.0278616082102176
LASSO,UAV,2022-07-12,Crawfordsville,0.147351432433818,4,0.0578936568015178,0.0289468284007589
RF,UAV,2022-08-12,Scottsbluff,0.147043791642439,5,0.0569468182716026,0.0254673913515261
GB,Satellite,2022-09-13,Crawfordsville,0.146914015292023,5,0.0988831094013625,0.044221870889599
RF,Satellite,2022-08-07,Scottsbluff,0.146609809660256,5,0.0427037281155245,0.0190976877917963
LASSO,UAV,2022-07-26,Ames,0.146421859439881,4,0.0918469592270965,0.0459234796135483
SVM,UAV,2022-07-26,Ames,0.146359095488627,5,0.0429476811855807,0.0192067869213894
GB,Satellite,2022-09-09,Scottsbluff,0.145866855865693,5,0.0777672781990374,0.034778584095637
RF,Satellite,2022-09-13,Crawfordsville,0.145067690293811,5,0.0998219771142984,0.0446417452951999
GB,Satellite,2022-07-13,Missouri Valley,0.144421120547305,5,0.163611692316349,0.0731693731866273
GB,Satellite,2022-09-03,Missouri Valley,0.144135478870544,5,0.0900510763969475,0.0402720656541203
SVM,Satellite,2022-10-09,Crawfordsville,0.143987197662343,5,0.0385859978715289,0.0172561828440801
GB,Satellite,2022-10-09,Crawfordsville,0.143335515821124,5,0.0627525874438945,0.0280638102577096
LASSO,Satellite,2022-07-10,Crawfordsville,0.143276466317281,3,0.0897644913733476,0.0518255532580721
PLSR,Satellite,2022-07-18,Lincoln,0.14232807147305,5,0.099381965797732,0.0444449662522576
RF,UAV,2022-07-12,Ames,0.141748231597062,5,0.111849960498698,0.0500208229911512
GB,UAV,2022-07-13,Missouri Valley,0.14080152956791,5,0.0641477788270852,0.0286877588125968
PLSR,Satellite,2022-08-02,Crawfordsville,0.138795628624819,5,0.125700936761154,0.0562151678866686
LASSO,UAV,2022-07-22,Scottsbluff,0.135799975048838,5,0.0753582154064928,0.033701218462398
SVM,Satellite,2022-09-19,Missouri Valley,0.134607536452654,5,0.0430871597760595,0.0192691636433327
SVM,Satellite,2022-08-07,Scottsbluff,0.132316807415032,5,0.0431215121736622,0.0192845265025787
LASSO,Satellite,2022-07-15,Ames,0.130462676753736,1,,
GB,UAV,2022-07-12,Ames,0.130037048702267,5,0.0978036688509608,0.0437391303999254
SVM,Satellite,2022-09-09,Scottsbluff,0.129228662239894,5,0.0702073513946341,0.0313976820477233
PLSR,Satellite,2022-08-07,Scottsbluff,0.127772761363468,5,0.0680732727777729,0.0304432930763972
LASSO,Satellite,2022-09-24,Ames,0.126669791625487,5,0.0319053938265663,0.0142685258890209
SVM,Satellite,2022-09-24,Ames,0.125864196551036,5,0.0761847168271429,0.0340708411344127
RF,Satellite,2022-09-24,Scottsbluff,0.125166424328157,5,0.0605741564880547,0.0270895863174
RF,Satellite,2022-07-10,Crawfordsville,0.125102750525631,5,0.0710705013976817,0.031783694464042
GB,UAV,2022-08-11,Crawfordsville,0.124741837077008,5,0.0325035801555765,0.0145360429479964
RF,Satellite,2022-07-20,Crawfordsville,0.124460482761069,5,0.144075910821473,0.0644327061034025
GB,Satellite,2022-07-23,Ames,0.123760888595669,5,0.0643730461602198,0.0287885014265967
GB,Satellite,2022-08-02,Crawfordsville,0.123498317499028,5,0.0732629158776101,0.032764172026437
LR,Satellite,2022-07-21,Missouri Valley,0.12334679695825,5,0.161767029018564,0.072344414680738
RF,UAV,2022-07-08,Scottsbluff,0.123233861685429,5,0.0792894679743736,0.0354593280580984
SVM,Satellite,2022-07-10,Crawfordsville,0.122731706748875,5,0.105954872148714,0.0473844593343647
RF,Satellite,2022-09-24,Ames,0.122457730594862,5,0.0583361556835207,0.0260887219308726
RF,UAV,2022-07-12,Crawfordsville,0.122099595612518,5,0.117724991580134,0.0526482167647539
GB,UAV,2022-08-12,Scottsbluff,0.120744982056956,5,0.045287818483133,0.0202533281361914
SVM,Satellite,2022-09-24,Scottsbluff,0.120205545704125,5,0.0768592248103201,0.0343724902747628
LASSO,Satellite,2022-09-24,Scottsbluff,0.11957280470369,2,0.0830239569584425,0.0587068029662547
SVM,Satellite,2022-07-23,Ames,0.119559291587391,5,0.0511933464567322,0.0228943605345902
SVM,Satellite,2022-08-18,Scottsbluff,0.118588527252303,5,0.0516340482587805,0.0230914483720276
GB,UAV,2022-07-26,Ames,0.117360783360828,5,0.0353278614573174,0.0157990999436513
RF,Satellite,2022-07-17,Scottsbluff,0.116396866200034,5,0.0301297081914129,0.0134744151316463
SVM,UAV,2022-08-11,Crawfordsville,0.115980235734807,5,0.0550891601200139,0.0246366213703443
SVM,Satellite,2022-07-20,Crawfordsville,0.115793514385237,5,0.105057049367013,0.0469829407800383
GB,Satellite,2022-07-17,Scottsbluff,0.115396899344337,5,0.0403311791850472,0.018036651654098
LR,Satellite,2022-07-18,Lincoln,0.114776804214888,5,0.119804725432411,0.053578302018514
SVM,UAV,2022-07-08,Scottsbluff,0.114721074421036,5,0.0654835087924401,0.0292851154130202
GB,Satellite,2022-08-18,Scottsbluff,0.11458812961275,5,0.0371359196906325,0.0166076881670455
GB,Satellite,2022-09-24,Ames,0.113778413772257,5,0.0740569186893172,0.0331192608786976
LASSO,Satellite,2022-09-11,Ames,0.1135499191518,5,0.098395034430184,0.0440035971268647
SVM,UAV,2022-07-12,Crawfordsville,0.111967841921025,5,0.125267365641174,0.0560212689871973
GB,UAV,2022-07-12,Crawfordsville,0.11148752125257,5,0.105589228545252,0.0472209385437889
LR,UAV,2022-07-13,Missouri Valley,0.111336752202047,5,0.0782296747991933,0.0349853741417397
LR,UAV,2022-07-26,Ames,0.108802681208978,5,0.0722474417052919,0.0323100381706972
SVM,UAV,2022-07-12,Ames,0.106149208830658,5,0.0913124803322436,0.0408361826434019
GB,Satellite,2022-07-10,Crawfordsville,0.105409290549645,5,0.0756559988986226,0.0338343912885939
RF,UAV,2022-07-13,Missouri Valley,0.105363656303422,5,0.0616404149147987,0.0275664315821564
PLSR,Satellite,2022-07-17,Scottsbluff,0.104732360352963,5,0.0382190587115095,0.0170920826629981
PLSR,Satellite,2022-09-24,Ames,0.104651939477001,5,0.0749312124901117,0.0335102569528742
LASSO,Satellite,2022-09-09,Scottsbluff,0.104388063079752,3,0.0920039843786458,0.0531185251475293
GB,Satellite,2022-09-11,Missouri Valley,0.103657369582179,5,0.118638190818844,0.0530566118797054
PLSR,UAV,2022-07-12,Crawfordsville,0.103122698246534,5,0.0788764525541651,0.03527462194703
GB,Satellite,2022-08-07,Scottsbluff,0.101561296387843,5,0.0394709812653145,0.0176519594495728
GB,UAV,2022-07-08,Scottsbluff,0.100056817547935,5,0.0649286629958381,0.0290369808293738
LR,UAV,2022-07-12,Ames,0.0987633495864752,5,0.0704559542781307,0.0315088606371035
LR,Satellite,2022-09-11,Ames,0.098350068572625,5,0.0723744955383896,0.0323668583722189
PLSR,Satellite,2022-09-11,Missouri Valley,0.0981434379713054,5,0.092288829643647,0.0412728193294185
PLSR,Satellite,2022-09-09,Scottsbluff,0.098050957059229,5,0.0458110888141018,0.0204873417423224
SVM,Satellite,2022-09-13,Crawfordsville,0.0960803273006917,5,0.0517845509234973,0.0231587552098479
PLSR,Satellite,2022-07-23,Ames,0.0956432474470059,5,0.109246469260121,0.0488565063134942
RF,Satellite,2022-09-19,Missouri Valley,0.0927888832416761,5,0.0261614748172032,0.011699767216583
LASSO,Satellite,2022-08-07,Scottsbluff,0.0905440453849459,2,0.00416502289286915,0.00294511593134499
PLSR,Satellite,2022-07-10,Crawfordsville,0.0896195062341589,5,0.0925938112452952,0.0414092112480529
LR,Satellite,2022-09-09,Scottsbluff,0.0877385689359178,5,0.0437170632697525,0.0195508650495652
LR,Satellite,2022-09-19,Missouri Valley,0.0868659529432547,5,0.122941839408176,0.054981262039109
RF,UAV,2022-07-22,Scottsbluff,0.0865537276607878,5,0.0575301438068155,0.0257282624614756
PLSR,UAV,2022-07-26,Crawfordsville,0.085824157683807,5,0.0705542403554497,0.0315528155071289
LR,Satellite,2022-10-01,Crawfordsville,0.0838327493047587,5,0.0895502913605251,0.0400481077774092
SVM,UAV,2022-08-12,Scottsbluff,0.0829519220454654,5,0.0622565578484244,0.027841979078845
PLSR,Satellite,2022-08-18,Scottsbluff,0.0829082898768188,5,0.0415064949340378,0.0185622688360519
LASSO,Satellite,2022-07-23,Ames,0.080619785914573,1,,
GB,Satellite,2022-09-24,Scottsbluff,0.0805952472011274,5,0.022938543872369,0.0102584286806957
SVM,UAV,2022-07-22,Scottsbluff,0.0798326917953303,5,0.0521757312376673,0.0233336963646366
LR,Satellite,2022-09-11,Lincoln,0.0795411232791625,5,0.0923364978550717,0.0412941372016408
LR,Satellite,2022-10-09,Crawfordsville,0.0788772375666601,5,0.0635629227011946,0.0284262032016871
LR,Satellite,2022-09-03,Lincoln,0.0783448291367726,5,0.0675939132413839,0.0302289169745915
PLSR,Satellite,2022-07-20,Crawfordsville,0.0751760189853159,5,0.0724545288173038,0.0324026503426417
LASSO,Satellite,2022-07-20,Crawfordsville,0.0743543351254378,5,0.106845767377572,0.0477828797928759
PLSR,Satellite,2022-09-24,Scottsbluff,0.0739819403394448,5,0.0376247974530373,0.0168263209489304
GB,Satellite,2022-07-20,Crawfordsville,0.0737786692743493,5,0.0570019061345711,0.0254920273927926
SVM,Satellite,2022-07-17,Scottsbluff,0.0733383289224723,5,0.0358870067661409,0.0160491573276172
LR,UAV,2022-07-26,Crawfordsville,0.0711959004206453,5,0.0450889363794857,0.0201643853555386
LASSO,Satellite,2022-08-18,Scottsbluff,0.0689823426660396,3,0.0313637013907065,0.0181078414407074
RF,Satellite,2022-10-01,Crawfordsville,0.0679296405065658,5,0.0817251548718225,0.0365486003530186
LR,UAV,2022-07-08,Scottsbluff,0.0671710995972563,5,0.0460599740862612,0.0205986466197518
LR,UAV,2022-08-12,Scottsbluff,0.0661144024111545,5,0.0601771430029349,0.0269120364892577
LR,Satellite,2022-09-24,Scottsbluff,0.0659929644014264,5,0.0580732428791081,0.0259711437503082
LR,UAV,2022-07-12,Crawfordsville,0.0639764713461274,5,0.0440570106728366,0.0197028941499793
PLSR,UAV,2022-07-22,Scottsbluff,0.0630890295615556,5,0.0692957328864845,0.0309899938569694
LR,Satellite,2022-08-07,Scottsbluff,0.0629573303047088,5,0.0513275021517607,0.0229543567853207
LR,Satellite,2022-09-11,Missouri Valley,0.0616639761394371,5,0.0445870280279073,0.0199399251170178
RF,Satellite,2022-07-04,Scottsbluff,0.0583575251618671,5,0.0581984467833094,0.0260271366384768
LR,Satellite,2022-08-10,Ames,0.0546584497557744,5,0.0494280712172577,0.0221049054476978
PLSR,Satellite,2022-09-13,Crawfordsville,0.0541243114586373,5,0.0326536269113288,0.0146031458971295
PLSR,Satellite,2022-07-04,Scottsbluff,0.054013693097823,5,0.0707697308456806,0.0316491857840611
LR,Satellite,2022-09-03,Missouri Valley,0.0532678893498433,5,0.0508694541000672,0.0227495114692111
LR,Satellite,2022-08-06,Lincoln,0.0532120317532201,5,0.0687499029816147,0.0307458913026812
RF,Satellite,2022-07-15,Ames,0.0531365678272792,5,0.0405291343610618,0.0181251799001114
LR,Satellite,2022-07-17,Scottsbluff,0.0519661974101099,5,0.0635305525837045,0.0284117268450576
RF,UAV,2022-07-26,Crawfordsville,0.0497373142572652,5,0.0562373304777551,0.0251500987642762
SVM,Satellite,2022-10-01,Crawfordsville,0.0483595982720932,5,0.0547101742109948,0.0244671337193281
LASSO,Satellite,2022-09-13,Crawfordsville,0.0465177204329164,4,0.0617084355533471,0.0308542177766736
GB,UAV,2022-07-26,Crawfordsville,0.045263744457192,5,0.0448560341465971,0.0200602283105686
GB,Satellite,2022-07-04,Scottsbluff,0.0451618158303386,5,0.0596546597651676,0.0266783748819073
GB,UAV,2022-07-22,Scottsbluff,0.0449062142047272,5,0.0381982470192249,0.0170827753912631
LASSO,Satellite,2022-10-01,Crawfordsville,0.0437650636433491,2,0.0150611769647526,0.0106498603644272
LR,Satellite,2022-08-02,Crawfordsville,0.042646458860957,5,0.0651684416417776,0.0291442130997485
GB,Satellite,2022-07-15,Ames,0.0424468030936784,5,0.0440728718186737,0.0197099874700378
LR,Satellite,2022-07-13,Missouri Valley,0.0415296451476528,5,0.0469750450931764,0.0210078788148921
SVM,Satellite,2022-07-04,Scottsbluff,0.039627664314517,5,0.0531099679045155,0.0237514997034658
LR,Satellite,2022-07-10,Crawfordsville,0.0368558081156862,5,0.0304633583240997,0.0136236280071242
LASSO,UAV,2022-07-26,Crawfordsville,0.0362695218821565,4,0.0422359460085225,0.0211179730042613
PLSR,Satellite,2022-07-15,Ames,0.0352635220284292,5,0.0568982447894022,0.0254456686299053
PLSR,Satellite,2022-10-01,Crawfordsville,0.0345914815830255,5,0.0361696426742325,0.0161755559482922
SVM,Satellite,2022-07-15,Ames,0.0331493703847743,5,0.031887172247611,0.0142603769511806
LR,Satellite,2022-09-13,Crawfordsville,0.0327813683232854,5,0.0182598296287265,0.00816604406147945
LR,UAV,2022-07-22,Scottsbluff,0.0326157998497884,5,0.0389134847611418,0.017402639433463
GB,Satellite,2022-10-01,Crawfordsville,0.0315615912451709,5,0.0413423774615272,0.018488873271086
LR,Satellite,2022-07-04,Scottsbluff,0.0301171810651669,5,0.0393647903618343,0.017604469433818
LR,Satellite,2022-07-20,Crawfordsville,0.024302440337609,5,0.0224370400093025,0.0100341493349366
LR,Satellite,2022-07-23,Ames,0.0233205246164949,5,0.0300421309424571,0.0134352493952568
SVM,UAV,2022-07-26,Crawfordsville,0.0153541772422625,5,0.0117071946026581,0.00523561659147241
LR,Satellite,2022-08-18,Scottsbluff,0.0131634782865051,5,0.012244052126985,0.00547570657519789
LR,Satellite,2022-07-15,Ames,0.00265817069253932,5,0.00252011818407339,0.00112703111418429
LR,Satellite,2022-09-24,Ames,0.00265328828922667,5,0.00169040479940651,0.000755972008192972
LASSO,Satellite,2022-07-04,Scottsbluff,,0,,
LASSO,Satellite,2022-07-13,Missouri Valley,,0,,
LASSO,Satellite,2022-07-17,Scottsbluff,,0,,
LASSO,Satellite,2022-07-21,Missouri Valley,,0,,
LASSO,Satellite,2022-09-03,Lincoln,,0,,
LASSO,Satellite,2022-09-03,Missouri Valley,,0,,
LASSO,Satellite,2022-09-11,Missouri Valley,,0,,
LASSO,Satellite,2022-09-19,Lincoln,,0,,
LASSO,Satellite,2022-09-19,Missouri Valley,,0,,
LASSO,Satellite,2022-10-09,Crawfordsville,,0,,
